review	hours
you either die a noob or live long enough to get called a hacker	1066.0
Kill someone with a P90 - "You're a fuc**** noob!! Noob weapon!!" Kill someone with a P90 through a smoke - "You're a fuc**** hacker!!" Kill someone with a AWP - "You're a fuc**** noob!! Noob weapon!!" Kill someone with a AWP through a door - "You're a fuc**** hacker!!" In a 1 vs 5 you die - "You're a fuc**** noob!!" In a 1 vs 5 you win - "You're a fuc**** hacker!!" Kill someone with a headshot - "Hacker!!" Get headshoted by someone - "Owned!!" and get teabagged Kill someone with a grenade - "Luck!!" Get killed by someone with a grenade - "AHAHAHAHA" Get teamkilled by someone - "Get out of the way you fuc**** idiot!!" Accidentally teamkill someone - "You're a fuc**** idiot!!" Blocked by someone - Dies Accidentally blocks someone - "Get out the way you fuc**** idiot!!" Decide to save - "You're a fuc**** coward!!" Decide not to save - "Save you fuc**** idiot!!" Kill someone while defending the bomb - "You fuc**** camper!!" Kill someone while defending the hostages - "You fuc**** camper!!" Someone dies - The deceased one starts to rage Your team lose the round - Your team starts to rage Your team is losing 10-2 - Someone rages quit Go to the balcony in Italy - "You fuc**** hacker!!" Worst guy receives a drop - "Are you fuc**** serious!?" Warm up - Everybody tries to spawn kill Score is 5-1 in your favor - "This is a T map!" Score is 1-5 againts you - "This is a CT map!" Lose the first 2 rounds - Someone asks to get kicked Last round - Everybody buys Negev Your team is loosinh and you are in last - Someone vote kicks you Win a match - All enemy team rages Lose a match - Yout team rages Someone's Internet crashes - 30 minutes ban Your Internet crashes - 7 days ban 10/10 Best rage simulator out there!	675.3
Bought this game, played online, learned fluent russian 2 weeks later.	76.6
Knife in real life: 10$ Knife in game: 400$ 10/10	923.4
DIGITAL KNIVES ACTUALLY COST MORE THAN REAL KNIVES 10/10 GOODJOB VALVE WOULD BUY AGAIN	63.7
It doesn't matter how good you are any more, you will be judged solely on the market value of your inventory. You should have one of your several Karambit knives equipped at all times and inspect it in game whenever possible to ensure that anybody who is spectating you is aware that you are aware you're being watched and you are absolutely showing off that extremely pricey knife you own. Your stats are irrelevant now, most people aren't even aware that the 'Tab' key actually has a function in game. It doesn't matter if you don't know what 'eco' means. Fuck team work. You have a 'BOOM' AWP in your inventory, as long as you have $4750 cash in game you're buying an AWP. You will mock anyone who decided to give their Nova the 'Walnut' skin. Same goes for people who give their FAMAS the 'Doomkitty' skin. You will only equip 'StatTrak' weapons and the first thing you do when you acquire one is go on an idle server and get several hundred kills on AFK players in order to pad the stats so you don't look like a total n00b. Whenever a new case is released you will buy as many cases and keys as it takes in order to acquire 'an Exceedingly Rare Special Item!' Disregard the fact that you will end up spending three times as much as you otherwise would've by buying this directly from the market, it's only your parents' money after all. Besides, your birthday is next month and Christmas/Easter/[insert public holiday here] is just around the corner so you won't have to wait too long before you can blow more of their money on digital goods. You will also plaster ever single skin you own with multiple unseemly stickers with the intention of creating a unique skin for your weapon. Your 'Easy Peasy' and 'Ninjas in Pyjamas' stickers totally don't look ridiculous whatsoever. You will also name tag all of your weapons in order to add that final personal touch to the weapon you invested so much time and money in. You don't own an AK or an M4 any more, you only own weapons with names like 'xXx OG Snoop Dogg' and 'dubstep warrior'. You now have all the knowledge required to start playing CS:GO. Go forth and procure many skins of great value.	936.2
Revan was only 23 years old. He loved CS:GO so much. He had most of the achievements and items. He prayed to Gaben every night before bed, thanking him for the inventory he's been given. "CS:GO is love," he says, "CS:GO is life." His elder Dragon hears him and calls him a silver scrublord. He knows his elder is just jealous of his son's devotion to Gabe. He calls him a console peasant. He slaps him and sends him to sleep. He's crying now and his face hurts. He lays in bed, and it's really cold. He feels a warmth moving towards him. He looks up. It's Gabe! He's so happy, Gabe whispers into Revan's ear, "Try your chances... Open a case." Gaben grabs Revan with his powerful dev-team hands and puts him on his hands and knees. He's ready. Revan opens his pockets for Gabe. Gabe puts his hands deep into Revan's pockets. It costs so much, but Revan does it for CS:GO. Revan can feel his wallet emptying as his eyes start to water. He accepts the terms and conditions. Revan wants to please Gabe. Gaben lets out a mighty roar as he fills Revan's computer with keys. Revan opens all the cases and gets nothing worth anything at all.	2837.1
It's like roulette; fun until it turns into Russian.	213.0
Got A+ on my Russian exam.	722.4
>see a guy >shoot him >miss every shot >he turns around >kills me in one shot >exit cs:go 10/10	170.9
